alaika,pala,asmenot,rkkot,filter_$
14,119,7200,132000,0
12,78,12000,111500,0
40,102,840,73500,0
18,46,10068,59500,1
10,24,3000,33000,0
0,40,4680,51500,0
4,24,5904,7500,0
9,103,16068,144000,0
5,39,3900,50500,1
25,10,2520,23500,1
0,62,5616,100500,0
16,52,4236,72500,1
26,70,12000,117000,0
3,30,2820,63000,0
0,75,20580,119500,0
4,40,9000,85000,0
5,95,7200,114000,0
17,90,9600,90500,1
25,37,7200,86000,0
1,140,24000,124500,0
9,60,9960,108500,0
10,70,10332,53000,0
20,88,14004,121000,1
10,72,12768,67500,0
0,60,5904,81500,1
2,33,3108,72000,1
6,116,8040,148500,0
3,119,11124,129500,1
38,50,4032,65500,0
10,50,10800,111500,1
7,60,4320,30500,0
12,98,11760,139000,0
14,59,6864,106500,1
2,76,5160,114500,0
13,140,12000,124500,0
11,84,19800,132500,1
3,78,8400,77000,0
34,76,8400,77000,0
2,83,4800,119500,0
20,30,600,54000,0
3,60,12000,84500,1
13,107,7020,87500,0
7,102,4140,106000,0
8,120,5520,145000,1
3,107,6108,124000,1
0,58,8208,89000,1
34,100,5256,48000,1
11,120,7800,128500,0
0,75,8004,116000,1
2,27,6000,26000,0
1,62,14760,91500,0
4,59,4680,47000,0
57,65,240,45000,1
1,59,15192,102000,0
3,46,10320,48500,0
13,120,960,120000,0
34,75,1200,60000,0
1,44,5340,79000,0
18,53,7056,85500,1
30,50,6000,71000,1
12,30,5640,88500,0
5,70,6120,135500,1
21,100,6240,114000,0
5,95,6000,143500,1
0,105,5160,104500,1
12,112,5880,107500,1
8,117,3960,184500,0
4,70,6000,107500,0
6,35,2100,77500,1
40,70,10824,133500,0
3,70,5400,123500,0
6,76,15348,58500,0
12,120,5880,119000,0
7,56,4068,146500,1
4,76,5760,102000,1
9,74,4800,83000,0
3,35,8880,44000,0
5,163,9300,167500,1
6,77,13200,82000,1
7,57,11592,59500,0
14,70,15600,165000,0
12,125,7200,179000,0
19,100,4800,89000,0
0,60,7200,6500,0
63,87,1440,93500,0
20,120,4560,85500,0
4,60,12960,107500,0
33,57,3840,54500,0
30,100,3600,99500,1
18,100,7200,81000,1
32,72,8940,112000,0
30,90,3000,29500,0
40,90,3840,48500,1
9,130,6240,118500,1
20,80,9000,114000,1
60,30,360,17000,1
0,59,12276,83500,1
37,42,600,42000,0
9,49,10320,110000,0
26,97,5220,72000,0
25,99,7200,84000,0
0,110,4008,53000,1
0,35,9792,38500,0
71,40,1500,75000,1
7,120,8400,185000,1
14,70,3600,73000,1
6,120,7860,189000,1
4,170,3720,115500,0
5,49,10992,69000,1
30,110,720,72000,1
23,90,9252,154000,0
36,75,11352,86500,1
6,51,5160,48500,1
12,107,3144,155500,0
2,53,5112,24500,0
40,155,4392,100500,1
3,76,11616,98000,1
1,130,3540,70000,1
5,66,7560,158500,0
34,70,4680,29500,1
2,58,15312,111500,1
31,121,2424,101500,0
15,100,876,111000,1
70,53,3648,57000,0
24,80,7800,106000,1
23,81,9000,113500,0
37,88,10800,167500,0
13,81,1800,96000,0
5,138,19200,78500,0
24,61,11400,65500,0
0,86,20400,92500,1
4,70,13200,98000,1
46,25,2556,23500,1
24,25,2400,27500,0
37,70,5820,64000,0
36,112,6348,69000,1
20,150,18000,186000,1
5,137,960,114500,0
23,118,8400,73500,0
4,56,11328,97000,0
4,37,3600,41000,1
33,232,0,87000,1
9,97,5028,50500,0
42,215,6600,115000,0
23,120,1944,59500,1
1,90,4200,122000,1
14,110,10800,175500,1
